id_localizacao,concelho,distrito,freguesia
87659,Vila Nova De Cerveira,Viana Do Castelo,Gondarém
87660,Vila Nova De Famalicão,Braga,Bente
87661,Fafe,Braga,Medelo
87662,Fundão,Castelo Branco,Souto Da Casa
87663,Alcobaça,Leiria,Alfeizerão
87664,Arcos De Valdevez,Viana Do Castelo,Gondoriz
87665,Vila Verde,Braga,Goães
87666,Alenquer,Lisboa,Abrigada
87667,Montalegre,Vila Real,Meixedo
87668,Valpaços,Vila Real,Água Revés E Crasto
87669,Macedo De Cavaleiros,Bragança,Amendoeira
87670,Vinhais,Bragança,Nunes
87671,Guarda,Guarda,Castanheira
87672,Mirandela,Bragança,São Pedro Velho
87673,Covilhã,Castelo Branco,Vale Formoso
87674,Carregal Do Sal,Viseu,Parada
87675,Arganil,Coimbra,Cepos
87676,Barcelos,Braga,Aguiar
87677,Viana Do Castelo,Viana Do Castelo,Castelo Do Neiva
87678,Vila Verde,Braga,Rio Mau
87679,Barreiro,Setúbal,Verderena
87680,Guarda,Guarda,Marmeleiro
87681,Idanha-A-Nova,Castelo Branco,Idanha-A-Nova
87682,Vila Nova De Gaia,Porto,Seixezelo
87683,Valença,Viana Do Castelo,Arão
87684,Póvoa De Lanhoso,Braga,Garfe
87685,Mafra,Lisboa,Igreja Nova
87686,Alcanena,Santarém,Moitas Venda
87687,Valpaços,Vila Real,Barreiros
87688,Águeda,Aveiro,Barrô
87689,Penalva Do Castelo,Viseu,Mareco
87690,Cinfães,Viseu,Tendais
87691,Arouca,Aveiro,Alvarenga
87692,Santa Maria Da Feira,Aveiro,Guisande
87693,Santo Tirso,Porto,Roriz
87694,Guimarães,Braga,Pinheiro
87695,Vila Real,Vila Real,Parada De Cunhos
87696,Vila Pouca De Aguiar,Vila Real,Valoura
87697,Mirandela,Bragança,Abambres
87698,Alandroal,Évora,Alandroal (Nossa Senhora Da Conceição)
87699,Mêda,Guarda,Aveloso
87700,Castro Daire,Viseu,Moledo
87701,Tábua,Coimbra,Vila Nova De Oliveirinha
87702,Póvoa De Varzim,Porto,A Ver-O-Mar
87703,Cabeceiras De Basto,Braga,Alvite
87704,Ourém,Santarém,Fátima
87705,Moura,Beja,Santo Aleixo Da Restauração
87706,Murtosa,Aveiro,Murtosa
87707,Figueira Da Foz,Coimbra,Lavos
87708,Gondomar,Porto,Rio Tinto
87709,Alenquer,Lisboa,Vila Verde Dos Francos
87710,Vila Nova Da Barquinha,Santarém,Tancos
87711,Montalegre,Vila Real,Paradela
87712,Vidigueira,Beja,Selmes
87713,Beja,Beja,Mombeja
87714,Mêda,Guarda,Rabaçal
87715,Aveiro,Aveiro,Nossa Senhora De Fátima
87716,Tondela,Viseu,São João Do Monte
87717,Águeda,Aveiro,Aguada De Baixo
87718,Vinhais,Bragança,Alvaredos
87719,Alfândega Da Fé,Bragança,Sendim Da Ribeira
87720,Arouca,Aveiro,Fermedo
87721,Amares,Braga,Bico
87722,Braga,Braga,Passos (São Julião)
87723,Guimarães,Braga,Guimarães (Oliveira Do Castelo)
87724,Santa Marta De Penaguião,Vila Real,Lobrigos (São Miguel)
87725,Vinhais,Bragança,Paçó
87726,Santiago Do Cacém,Setúbal,Santa Cruz
87727,Figueira De Castelo Rodrigo,Guarda,Vilar Torpim
87728,Gondomar,Porto,Melres
87729,Póvoa De Varzim,Porto,Rates
87730,Vila Verde,Braga,Lage
87731,Barcelos,Braga,Galegos (São Martinho)
87732,Ponte De Lima,Viana Do Castelo,Correlhã
87733,Alenquer,Lisboa,Ventosa
87734,Ourém,Santarém,Seiça
87735,Gouveia,Guarda,Moimenta Da Serra
87736,Vouzela,Viseu,Cambra
87737,Águeda,Aveiro,Agadão
87738,Valongo,Porto,Valongo
87739,Lousada,Porto,Pias
87740,Penafiel,Porto,Paço De Sousa
87741,Trofa,Porto,Guidões
87742,Ponte Da Barca,Viana Do Castelo,Vila Chã (São João Baptista)
87743,Vila Verde,Braga,Gondomar
87744,Amadora,Lisboa,Venda Nova
87745,Bragança,Bragança,Quintanilha
87746,Vimioso,Bragança,Santulhão
87747,Aljezur,Faro,Odeceixe
87748,Sabugal,Guarda,Lajeosa
87749,Manteigas,Guarda,Manteigas (Santa Maria)
87750,Moimenta Da Beira,Viseu,Baldos
87751,Resende,Viseu,Ovadas
87752,Penacova,Coimbra,Paradela
87753,Vale De Cambra,Aveiro,São Pedro De Castelões
87754,Matosinhos,Porto,Leça Da Palmeira
87755,Vila Nova De Famalicão,Braga,Riba De Ave
87756,Torres Vedras,Lisboa,Carmões
87757,Mogadouro,Bragança,Azinhoso
87758,Penamacor,Castelo Branco,Meimoa
87759,Cantanhede,Coimbra,São Caetano
87760,Peniche,Leiria,Ferrel
87761,Caminha,Viana Do Castelo,Vile
87762,Braga,Braga,Oliveira (São Pedro)
87763,Esposende,Braga,Forjães
87764,Chamusca,Santarém,Carregueira
87765,Peso Da Régua,Vila Real,Peso Da Régua
87766,Alcoutim,Faro,Martim Longo
87767,Faro,Faro,Faro (São Pedro)
87768,Viana Do Castelo,Viana Do Castelo,Torre
87769,Cascais,Lisboa,Estoril
87770,Bragança,Bragança,São Pedro De Sarracenos
87771,Penafiel,Porto,Castelões
87772,Fafe,Braga,Travassós
87773,Celorico De Basto,Braga,Gagos
87774,Torre De Moncorvo,Bragança,Maçores
87775,Moura,Beja,Sobral Da Adiça
87776,Vila Nova De Foz Côa,Guarda,Custóias
87777,Azambuja,Lisboa,Aveiras De Baixo
87778,Sardoal,Santarém,Sardoal
87779,Miranda Do Douro,Bragança,Picote
87780,Almeida,Guarda,Junça
87781,Resende,Viseu,Paus
87782,Vila Nova De Poiares,Coimbra,Lavegadas
87783,Alcanena,Santarém,Alcanena
87784,Odivelas,Lisboa,Caneças
