id,data,year,gust_max,is_dry_day,is_high_wind_day,location_id,precip_hours,precip_sum,pressure_msl,radiation,sunshine,temp_max,temp_mean,temp_min,wind_dir,wind_max
2612,20240207,2024,51.1,false,false,653,,5.9,,3.45,318.58,12.2,9.6,7,184,21.2
2644,20240207,2024,42.5,false,false,2308,,0.3,,6.95,21917.8,14,9,4,196,22.3
153,20240208,2024,90.7,false,false,647,,48.7,,1.62,0,7.8,7.05,6.3,167,25.7
187,20240208,2024,86,false,true,1674,,44.3,,1.26,0,13.4,12.25,11.1,190,39.7
1591,20240208,2024,67,false,true,2993,,20.3,,3.31,0,10.8,9.850000000000001,8.9,186,30.7
1592,20240208,2024,75.6,false,true,352,,45.8,,1.21,0,14.8,13.65,12.5,194,37.6
1593,20240208,2024,73.4,false,true,2444,,29.3,,2.14,0,14.2,13.05,11.9,182,38.3
1594,20240208,2024,71.3,false,true,196,,23.2,,1.71,0,17,15.55,14.1,201,39.1
1595,20240208,2024,53.6,false,false,53,,19.6,,2.61,0,14.2,12.5,10.8,172,26.8
1596,20240208,2024,81.4,false,true,910,,48.2,,0.96,0,14.8,13.7,12.6,187,45.8
1597,20240208,2024,79.2,false,true,2879,,24.9,,1.42,0,15.5,14.95,14.4,198,44.2
1598,20240208,2024,66.6,false,true,424,,27.9,,1.72,0,16.3,15.600000000000001,14.9,197,37
1599,20240208,2024,58.3,false,true,2355,,16.9,,3.02,0,16.5,14.25,12,194,30.3
1600,20240208,2024,59,false,false,286,,24.8,,2.12,0,14.5,12.95,11.4,183,25.6
1601,20240208,2024,52.9,false,false,175,,20.6,,2.76,0,14.4,12.3,10.2,189,27.3
1602,20240208,2024,50,false,false,3224,,19.3,,2.81,0,13.8,11.850000000000001,9.9,181,24.4
1603,20240208,2024,86.4,false,true,1495,,44.5,,1.04,0,14.6,13.5,12.4,193,35.7
1604,20240208,2024,82.8,false,true,96,,38.9,,1.38,0,13.2,12,10.8,191,36.1
2548,20240208,2024,43.6,false,false,942,,14.8,,2.12,0,11.1,10.2,9.3,167,22.9
2613,20240208,2024,75.6,false,true,653,,63.4,,0.92,0,11,9.9,8.8,188,31.3
2645,20240208,2024,79.9,false,true,2308,,20.5,,3.31,0,10.1,9.3,8.5,183,38.2
154,20240209,2024,63.7,false,false,647,,40.3,,2.96,3823.08,7.9,6,4.1,246,20.5
188,20240209,2024,58.3,false,false,1674,,41.9,,2.61,10599.9,12.1,10.3,8.5,240,27.9
